Time - Voltage	Amplitude - Voltage	
7	23.5	-0.703
7	23.5	-0.698
7	23.5	-0.452
7	23.5	-0.42
7	23.6	-0.515
7	23.6	-0.706
7	23.6	-0.776
7	23.6	-0.62
7	23.6	-0.552
7	23.6	-0.593
7	23.6	-0.615
7	23.6	-0.696
7	23.6	-0.996
7	23.6	-0.5
7	23.6	-0.62
7	23.7	-0.735
7	23.7	-0.581
7	23.7	-0.596
7	23.7	-0.518
7	23.7	-0.605
7	23.7	-0.706
7	23.7	-0.884
7	23.7	-0.642
7	23.7	-0.632
7	23.7	-0.476
7	23.7	-0.662
7	23.8	-0.84
7	23.8	-0.586
7	23.8	-0.613
7	23.8	-0.723
7	23.8	-0.957
7	23.8	-0.605
7	23.8	-0.591
7	23.8	-0.481
7	23.8	-0.596
7	23.8	-0.691
7	23.8	-0.73
7	23.9	-0.542
7	23.9	-0.435
7	23.9	-0.625
7	23.9	-0.698
7	23.9	-0.479
7	23.9	-0.452
7	23.9	-0.706
7	23.9	-0.642
7	23.9	-0.818
7	23.9	-0.767
7	23.9	-0.706
7	24	-0.728
7	24	-0.713
7	24	-0.774
7	24	-0.674
7	24	-0.535
7	24	-0.593
7	24	-0.625
7	24	-0.813
7	24	-0.642
7	24	-0.623
7	24.1	-0.703
7	24.1	-0.823
7	24.1	-1.047
7	24.1	-0.85
7	24.1	-0.815
7	24.1	-0.562
7	24.1	-0.703
7	24.1	-1.365
7	24.1	-0.92
7	24.1	-0.535
7	24.1	-0.496
7	24.2	-0.676
7	24.2	-0.879
7	24.2	-0.684
7	24.2	-0.471
7	24.2	-0.767
7	24.2	-1.045
7	24.2	-0.813
7	24.2	-0.549
7	24.2	-0.544
7	24.2	-0.642
7	24.2	-0.605
7	24.2	-0.742
7	24.3	-0.547
7	24.3	-0.686
7	24.3	-0.693
7	24.3	-1.174
7	24.3	-1.482
7	24.3	-0.728
7	24.3	-0.471
7	24.3	-0.674
7	24.3	-0.635
7	24.3	-0.647
7	24.3	-0.498
7	24.4	-0.461
7	24.4	-0.54
7	24.4	-0.798
7	24.4	-0.793
7	24.4	-0.679
7	24.4	-0.469
7	24.4	-0.588
7	24.4	-0.591
7	24.4	-0.781
7	24.4	-0.503
7	24.4	-0.764
7	24.5	-0.649
7	24.5	-0.642
7	24.5	-0.63
7	24.5	-0.532
7	24.5	-0.427
7	24.5	-0.437
7	24.5	-0.557
7	24.5	-0.605
7	24.5	-0.474
7	24.5	-0.427
7	24.6	-0.527
7	24.6	-0.632
7	24.6	-0.513
7	24.6	-0.447
7	24.6	-0.53
7	24.6	-0.515
7	24.6	-0.591
7	24.6	-0.444
7	24.6	-0.437
7	24.6	-0.432
7	24.6	-0.439
7	24.7	-0.61
7	24.7	-0.469
7	24.7	-0.422
7	24.7	-0.422
7	24.7	-0.615
7	24.7	-0.618
7	24.7	-0.422
7	24.7	-0.439
7	24.7	-0.579
7	24.7	-0.767
7	24.7	-0.503
7	24.8	-0.522
7	24.8	-0.476
7	24.8	-0.469
7	24.8	-0.466
7	24.8	-0.569
7	24.8	-0.435
7	24.8	-0.479
7	24.8	-0.43
7	24.8	-0.623
7	24.8	-0.61
7	24.8	-0.432
7	24.9	-0.427
7	24.9	-0.51
7	24.9	-0.603
7	24.9	-0.522
