Time - Voltage	Amplitude - Voltage	
34	51	-3.186
34	51.1	-2.981
34	51.1	-3.264
34	51.2	-2.898
34	51.2	-2.717
34	51.2	-2.139
34	51.3	-3.066
34	51.3	-3.875
34	51.4	-3.801
34	51.4	-2.952
34	51.4	-3.882
34	51.4	-2.18
34	51.5	-2.329
34	51.5	-3.984
34	51.6	-3.247
34	51.6	-3.843
34	51.6	-3.535
34	51.7	-2.324
34	51.7	-2.993
34	51.8	-2.573
34	51.8	-3.855
34	51.8	-3.835
34	51.8	-4.075
34	51.9	-3.835
34	51.9	-2.827
34	52	-3.679
34	52	-2.949
34	52	-3.186
34	52.1	-3.596
34	52.1	-2.351
34	52.1	-3.447
34	52.2	-1.597
34	52.2	-2.756
34	52.2	-3.157
34	52.3	-3.203
34	52.3	-3.655
34	52.4	-3.655
34	52.4	-2.332
34	52.4	-3.416
34	52.5	-3.25
34	52.5	-3.508
34	52.5	-3.264
34	52.6	-3.748
34	52.6	-3.569
34	52.6	-3.23
34	52.7	-3.806
34	52.7	-3.723
34	52.8	-3.735
34	52.8	-4.084
34	52.8	-4.038
34	52.8	-3.977
34	52.9	-3.433
34	52.9	-3.704
34	53	-3.813
34	53	-4.114
34	53	-3.811
34	53.1	-2.769
34	53.1	-3.652
34	53.2	-3.953
34	53.2	-3.95
34	53.2	-3.853
34	53.3	-4.053
34	53.3	-3.135
34	53.3	-3.401
34	53.4	-3.079
34	53.4	-3.462
34	53.4	-4.053
34	53.5	-3.765
34	53.5	-3.855
34	53.6	-3.083
34	53.6	-3.103
34	53.6	-3.215
34	53.7	-3.196
34	53.7	-3.728
34	53.7	-3.589
34	53.8	-2.634
34	53.8	-3.474
34	53.9	-2.766
34	53.9	-3.457
34	53.9	-2.661
34	53.9	-3.237
34	54	-3.428
34	54	-2.629
34	54.1	-2.639
34	54.1	-4.004
34	54.1	-2.795
34	54.2	-3.545
34	54.2	-3.608
34	54.3	-2.974
34	54.3	-4.07
34	54.3	-3.174
34	54.3	-4.067
34	54.4	-3.218
34	54.4	-2.363
34	54.5	-3.914
34	54.5	-3.733
34	54.5	-3.926
34	54.6	-3.076
34	54.6	-2.898
34	54.7	-3.508
34	54.7	-3.24
34	54.7	-4.038
34	54.7	-3.372
34	54.8	-4.019
34	54.8	-2.803
34	54.9	-3.015
34	54.9	-2.812
34	54.9	-3.806
34	55	-4.099
34	55	-4.106
34	55	-4.087
34	55.1	-3.574
34	55.1	-2.898
34	55.1	-3.657
34	55.2	-3.643
34	55.2	-4.111
34	55.3	-3.931
34	55.3	-3.628
34	55.3	-3.53
34	55.4	-4.014
34	55.4	-4.119
34	55.4	-4.111
34	55.5	-3.882
34	55.5	-3.657
34	55.5	-3.811
34	55.6	-3.716
34	55.6	-4.036
34	55.7	-4.041
34	55.7	-4.114
34	55.7	-4.075
34	55.7	-3.489
34	55.8	-3.774
34	55.8	-3.689
34	55.9	-4.106
34	55.9	-4.077
34	55.9	-4.111
34	56	-3.433
34	56	-3.206
34	56.1	-3.12
34	56.1	-4.104
34	56.1	-4.05
34	56.1	-4.072
34	56.2	-4.055
34	56.2	-3.914
34	56.3	-3.97
34	56.3	-4.043
34	56.3	-4.087
34	56.4	-3.86
34	56.4	-4.006
34	56.5	-4.001
34	56.5	-4.048
34	56.5	-4.075
34	56.5	-3.845
34	56.6	-3.975
34	56.6	-3.967
34	56.7	-3.999
34	56.7	-4.031
34	56.7	-4.087
34	56.8	-4.089
34	56.8	-4.004
34	56.8	-3.931
34	56.9	-3.762
34	56.9	-3.777
34	56.9	-4.102
34	57	-4.023
34	57	-4.109
34	57.1	-4.072
34	57.1	-3.921
34	57.1	-4.094
34	57.2	-3.989
34	57.2	-3.816
34	57.2	-3.086
34	57.3	-3.872
34	57.3	-4.053
34	57.4	-4.08
34	57.4	-3.906
34	57.4	-3.247
34	57.5	-2.93
34	57.5	-3.489
34	57.6	-2.976
34	57.6	-3.828
34	57.6	-3.687
34	57.6	-3.718
34	57.7	-2.278
34	57.7	-1.885
34	57.8	-2.341
34	57.8	-2.307
34	57.8	-2.397
34	57.9	-2.996
34	57.9	-1.685
34	57.9	-1.958
34	58	-0.896
34	58	-1.965
34	58	-2.385
34	58.1	-2.034
34	58.1	-2.407
34	58.2	-1.245
34	58.2	-2.051
34	58.2	-2.271
34	58.3	-1.348
34	58.3	-2.219
34	58.3	-1.841
34	58.4	-3.032
34	58.4	-2.761
34	58.4	-1.704
34	58.5	-2.449
34	58.5	-2.3
34	58.6	-3.45
34	58.6	-3.965
34	58.6	-3.77
34	58.6	-3.706
34	58.7	-2.588
34	58.7	-3.684
34	58.8	-3.433
34	58.8	-3.901
34	58.8	-3.997
34	58.9	-4.05
34	58.9	-2.627
34	59	-3.442
34	59	-3.25
34	59	-3.977
34	59	-3.767
34	59.1	-4.05
34	59.1	-3.965
34	59.2	-3.076
34	59.2	-3.481
34	59.2	-2.615
34	59.3	-3.379
34	59.3	-4.033
34	59.4	-2.869
34	59.4	-2.544
34	59.4	-3.442
34	59.4	-3.445
